"district"	"UC_GRADS"	"GRADS"	"YEAR"	"PERCENT_UC"
"257"	75390	105	225	1998	46.6666666666667
"258"	61820	62	223	1998	27.8026905829596
"259"	75267	65	221	1998	29.4117647058824
"260"	68031	125	220	1998	56.8181818181818
"261"	64535	77	219	1998	35.1598173515982
"262"	70532	74	219	1998	33.7899543378995
"263"	75283	0	219	1998	0
"264"	67181	48	217	1998	22.1198156682028
"265"	67249	96	215	1998	44.6511627906977
"266"	61275	159	214	1998	74.2990654205608
"267"	68890	113	209	1998	54.066985645933
"268"	71217	40	209	1998	19.1387559808612
"269"	75556	66	209	1998	31.5789473684211
"270"	62257	72	208	1998	34.6153846153846
"271"	61556	70	201	1998	34.8258706467662
"272"	75473	42	201	1998	20.8955223880597
"273"	69146	50	197	1998	25.3807106598985
"274"	70516	81	197	1998	41.1167512690355
"275"	61127	102	195	1998	52.3076923076923
"276"	66985	111	195	1998	56.9230769230769
"277"	67637	69	194	1998	35.5670103092784
"278"	62125	37	192	1998	19.2708333333333
"279"	73999	60	192	1998	31.25
"280"	66993	42	190	1998	22.1052631578947
"281"	72454	56	190	1998	29.4736842105263
"282"	66555	50	186	1998	26.8817204301075
"283"	70466	68	184	1998	36.9565217391304
"284"	73874	105	183	1998	57.3770491803279
"285"	61564	35	180	1998	19.4444444444444
"286"	63776	36	179	1998	20.1117318435754
"287"	63263	71	178	1998	39.8876404494382
"288"	63891	34	178	1998	19.1011235955056
"289"	68502	42	178	1998	23.5955056179775
"290"	67413	60	177	1998	33.8983050847458
"291"	65987	80	172	1998	46.5116279069767
"292"	71506	55	170	1998	32.3529411764706
"293"	63818	25	169	1998	14.792899408284
"294"	68841	66	168	1998	39.2857142857143
"295"	10371	0	164	1998	0
"296"	10157	7	162	1998	4.32098765432099
"297"	73783	38	161	1998	23.6024844720497
"298"	65201	44	159	1998	27.6729559748428
"299"	75549	65	159	1998	40.8805031446541
"300"	63677	26	158	1998	16.4556962025316
"301"	66134	70	158	1998	44.3037974683544
"302"	65698	32	157	1998	20.3821656050955
"303"	71993	22	155	1998	14.1935483870968
"304"	61697	33	154	1998	21.4285714285714
"305"	63164	12	153	1998	7.84313725490196
"306"	65623	35	152	1998	23.0263157894737
"307"	72702	35	151	1998	23.1788079470199
"308"	73908	24	151	1998	15.8940397350993
"309"	75317	40	147	1998	27.2108843537415
"310"	65532	36	146	1998	24.6575342465753
"311"	68650	46	146	1998	31.5068493150685
"312"	68577	46	144	1998	31.9444444444444
"313"	62158	51	141	1998	36.1702127659575
"314"	72413	82	141	1998	58.1560283687943
"315"	64014	43	139	1998	30.9352517985612
"316"	64022	13	139	1998	9.35251798561151
"317"	75507	29	130	1998	22.3076923076923
"318"	62661	27	128	1998	21.09375
"319"	72280	58	126	1998	46.031746031746
"320"	63685	23	125	1998	18.4
"321"	72769	6	125	1998	4.8
"322"	75481	43	125	1998	34.4
"323"	65565	34	123	1998	27.6422764227642
"324"	66290	50	122	1998	40.9836065573771
"325"	62364	18	119	1998	15.1260504201681
"326"	63149	29	119	1998	24.3697478991597
"327"	73601	31	119	1998	26.0504201680672
"328"	73809	32	117	1998	27.3504273504274
"329"	71449	36	116	1998	31.0344827586207
"330"	71399	13	115	1998	11.304347826087
"331"	10397	0	110	1998	0
"332"	75127	37	109	1998	33.9449541284404
"333"	61598	35	108	1998	32.4074074074074
"334"	75598	24	107	1998	22.4299065420561
"335"	68213	43	104	1998	41.3461538461538
"336"	10439	0	103	1998	0
"337"	75309	71	103	1998	68.9320388349515
"338"	71779	57	102	1998	55.8823529411765
"339"	65581	63	101	1998	62.3762376237624
"340"	75358	45	100	1998	45
"341"	63040	22	99	1998	22.2222222222222
"342"	64055	39	99	1998	39.3939393939394
"343"	70177	39	98	1998	39.7959183673469
"344"	73932	18	97	1998	18.5567010309278
"345"	75234	11	97	1998	11.340206185567
"346"	75408	20	97	1998	20.6185567010309
"347"	63107	17	96	1998	17.7083333333333
"348"	69989	17	95	1998	17.8947368421053
