"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"125"	61952	1354	39.8235294117647	896	26.3529411764706	458	13.4705882352941	0	0	1998
"126"	61960	1068	46.4347826086956	671	29.1739130434783	397	17.2608695652174	0	0	1998
"127"	61978	2987	46.671875	2009	31.390625	944	14.75	0	0	1998
"128"	61986	20	5	10	2.5	10	2.5	0	0	1998
"129"	61994	175	21.875	125	15.625	50	6.25	0	0	1998
"130"	62000	418	46.4444444444444	268	29.7777777777778	150	16.6666666666667	0	0	1998
"131"	62026	97	19.4	64	12.8	33	6.6	0	0	1998
"132"	62042	137	34.25	95	23.75	42	10.5	0	0	1998
"133"	62067	796	113.714285714286	545	77.8571428571429	251	35.8571428571429	0	0	1998
"134"	62075	611	43.6428571428571	0	0	0	0	611	43.6428571428571	1998
"135"	62109	218	27.25	144	18	74	9.25	0	0	1998
"136"	62117	31487	72.383908045977	14240	32.735632183908	7421	17.0597701149425	9609	22.0896551724138	1998
"137"	62125	4092	55.2972972972973	2104	28.4324324324324	898	12.1351351351351	1090	14.7297297297297	1998
"138"	62158	2082	42.4897959183673	938	19.1428571428571	493	10.0612244897959	643	13.1224489795918	1998
"139"	62166	78942	75.1828571428571	40130	38.2190476190476	17734	16.8895238095238	21060	20.0571428571429	1998
"140"	62174	987	41.125	688	28.6666666666667	299	12.4583333333333	0	0	1998
"141"	62240	2019	40.38	1360	27.2	659	13.18	0	0	1998
"142"	62257	994	71	0	0	0	0	994	71	1998
"143"	62265	8400	57.5342465753425	4106	28.1232876712329	1917	13.1301369863014	2377	16.2808219178082	1998
"144"	62281	839	32.2692307692308	414	15.9230769230769	190	7.30769230769231	235	9.03846153846154	1998
"145"	62323	205	25.625	143	17.875	62	7.75	0	0	1998
"146"	62331	379	47.375	271	33.875	108	13.5	0	0	1998
"147"	62356	474	59.25	323	40.375	151	18.875	0	0	1998
"148"	62364	2990	110.740740740741	1525	56.4814814814815	734	27.1851851851852	715	26.4814814814815	1998
