"District Code"	"District Name"	"AVG_PR_FRPM"	"Year"
"177"	"63198"	"Meadows Union Elementary"	0.758823529411765	2004
"178"	"63206"	"Mulberry Elementary"	0.590361445783133	2004
"179"	"63214"	"San Pasqual Valley Unified"	0.821578267865397	2004
"180"	"63222"	"Seeley Union Elementary"	0.752151462994836	2004
"181"	"63230"	"Westmorland Union Elementary"	0.862694300518135	2004
"182"	"10140"	"Inyo Co. Office of Education"	0.539824136612718	2004
"183"	"63248"	"Big Pine Unified"	0.279044090126506	2004
"184"	"63255"	"Bishop Union Elementary"	0.426151519912832	2004
"185"	"63263"	"Bishop Joint Union High"	0.131026299086569	2004
"186"	"63271"	"Death Valley Unified"	0.673015873015873	2004
"187"	"63289"	"Lone Pine Unified"	0.543021155830753	2004
"188"	"63297"	"Owens Valley Unified"	0.154847104749512	2004
"189"	"63305"	"Round Valley Joint Elementary"	0.259842519685039	2004
"190"	"10157"	"Kern Co. Office of Education"	0.459476647206005	2004
"191"	"63313"	"Arvin Union Elementary"	0.93601302536627	2004
"192"	"63321"	"Bakersfield City Elementary"	0.855854639426867	2004
"193"	"63339"	"Beardsley Elementary"	0.833180063294459	2004
"194"	"63347"	"Belridge Elementary"	0.954545454545455	2004
"195"	"63354"	"Blake Elementary"	0	2004
"196"	"63362"	"Panama Buena Vista Union Elementary"	0.466347130367637	2004
"197"	"63370"	"Buttonwillow Union Elementary"	0.933002481389578	2004
"198"	"63388"	"Caliente Union Elementary"	0.24537037037037	2004
"199"	"63404"	"Delano Union Elementary"	1	2004
"200"	"63412"	"Delano Joint Union High"	0.812387098413178	2004
"201"	"63420"	"Di Giorgio Elementary"	0.900862068965517	2004
"202"	"63438"	"Edison Elementary"	0.78962903803482	2004
"203"	"63446"	"Elk Hills Elementary"	0.842105263157895	2004
"204"	"63461"	"Fairfax Elementary"	0.861324099024475	2004
"205"	"63479"	"Fruitvale Elementary"	0.240033819130665	2004
"206"	"63487"	"General Shafter Elementary"	0.633802816901408	2004
