"CO"	"DISTRICT"	"LEA ID"	"EXPENDITURES"	"CURRENT EXPENSE ADA"	"CURRENT EXPENSE PER ADA"	"LEA TYPE"	"YEAR"
"400"	"26"	"Mammoth Unified"	"73692"	"6.40516e+006"	"1156.96"	5536.2	"Unified"	1998
"401"	"27"	"Alisal Union Elementary"	"65961"	"34599965"	"6922.94"	4997.87	"Elementary"	1998
"402"	"27"	"Bradley Union Elementary"	"65979"	"287197"	"36.14"	7946.79	"Elementary"	1998
"403"	"27"	"Carmel Unified"	"65987"	"17702460"	"2360.92"	7498.12	"Unified"	1998
"404"	"27"	"Chualar Union Elementary"	"65995"	"2391558"	"295.36"	8097.1	"Elementary"	1998
"405"	"27"	"Gonzales Unified"	"75473"	"15245803"	"2779.25"	5485.58	"Unified"	1998
"406"	"27"	"Graves Elementary"	"66027"	"279116"	"33.98"	8214.13	"Elementary"	1998
"407"	"27"	"Greenfield Union Elementary"	"66035"	"13252982"	"2478.15"	5347.93	"Elementary"	1998
"408"	"27"	"King City Joint Union High"	"66068"	"9265036"	"1742.01"	5318.59	"High School"	1998
"409"	"27"	"King City Union Elementary"	"66050"	"12035415"	"2351.98"	5117.14	"Elementary"	1998
"410"	"27"	"Lagunita Elementary"	"66076"	"335049"	"36.04"	9296.59	"Elementary"	1998
"411"	"27"	"Mission Union Elementary"	"66084"	"488358"	"85.67"	5700.46	"Elementary"	1998
"412"	"27"	"Monterey Peninsula Unified"	"66092"	"69715365"	"12292.7"	5671.3	"Unified"	1998
"413"	"27"	"North Monterey County Unified"	"73825"	"26791121"	"5113.27"	5239.53	"Unified"	1998
"414"	"27"	"Pacific Grove Unified"	"66134"	"12263348"	"2133.58"	5747.78	"Unified"	1998
"415"	"27"	"Pacific Unified"	"75150"	"591442"	"36.39"	16252.9	"Unified"	1998
"416"	"27"	"Salinas City Elementary"	"66142"	"46777084"	"8550.69"	5470.56	"Elementary"	1998
"417"	"27"	"Salinas Union High"	"66159"	"53851364"	"10955.5"	4915.47	"High School"	1998
"418"	"27"	"San Antonio Union Elementary"	"66167"	"1181057"	"194.01"	6087.61	"Elementary"	1998
"419"	"27"	"San Ardo Union Elementary"	"66175"	"970391"	"105.75"	9176.27	"Elementary"	1998
