"Year"	"District Code"	"County Name"	"District Name"	"mean"	"mean_PRadvanced"	"mean_PRproficient"	"mean_PRbasic"	"mean_PRbelowbasic
means"
"21"	2003	75101	"Alameda"	"Pleasanton Unified"	2525.10954616588	10.9514866979656	11.7746478873239	9.3849765258216	14.3990610328638
"22"	2003	75119	"Alameda"	"Sunol Glen Unified"	3045.73563218391	10.6494252873563	10.2701149425287	10.0919540229885	10.5057471264368
"23"	2003	75622	"Alameda"	"Oakland Military"	2893.6875	6.625	18.25	18.3125	16.8125
"24"	2003	61333	"Alpine"	"Alpine County Unified"	574.444015444015	2.37065637065637	2.66409266409266	3.51351351351351	3.2007722007722
"25"	2003	10033	"Amador"	"Amador Co. Office of Education"	1231.49519230769	2.39423076923077	3.74519230769231	5.19230769230769	4.84615384615385
"26"	2003	73981	"Amador"	"Amador County Unified"	2472.88571428571	9.79183673469388	12.6265306122449	14.2816326530612	10.3489795918367
"27"	2003	10041	"Butte"	"Butte Co. Office of Education"	1519.04105571848	5.68621700879765	9.29325513196481	7.17595307917889	7.78885630498534
"28"	2003	61382	"Butte"	"Bangor Union Elementary"	3143.02173913043	8.08695652173913	9.39130434782609	14.6304347826087	12.1521739130435
"29"	2003	61408	"Butte"	"Biggs Unified"	1982.99588477366	7.52263374485597	6.7119341563786	10.2304526748971	9.16460905349794
"30"	2003	61424	"Butte"	"Chico Unified"	2366.72007912957	9.15430267062315	10.7982195845697	10.5974282888229	8.66271018793274
"31"	2003	61432	"Butte"	"Durham Unified"	2099.22362869198	9.10126582278481	10.8945147679325	12.4177215189873	10.4810126582278
"32"	2003	61440	"Butte"	"Feather Falls Union Elementary"	1	1.37777777777778	1.37777777777778	1.37777777777778	1.37777777777778
"33"	2003	61457	"Butte"	"Golden Feather Union Elementary"	2155.72868217054	6.57364341085271	4.6046511627907	7.83720930232558	6.82170542635659
"34"	2003	61499	"Butte"	"Manzanita Elementary"	3129.89130434783	11.7173913043478	11.0869565217391	13.0652173913043	9
"35"	2003	61507	"Butte"	"Oroville City Elementary"	2422.48897058824	7.82720588235294	7.54779411764706	9.62132352941176	7.55882352941176
"36"	2003	61515	"Butte"	"Oroville Union High"	1708.37109375	10.33203125	12.23828125	16.51953125	12.671875
"37"	2003	61523	"Butte"	"Palermo Union Elementary"	1901.5	8.44871794871795	5.89102564102564	10.0769230769231	4.25
"38"	2003	61531	"Butte"	"Paradise Unified"	1751.70050761421	7.85617597292724	8.49407783417936	9.34348561759729	7.02707275803723
"39"	2003	61549	"Butte"	"Thermalito Union Elementary"	2120.59854014599	8.42335766423358	5.15328467153285	10.7299270072993	7.05839416058394
"40"	2003	73379	"Butte"	"Pioneer Union Elementary"	2058.66379310345	8.5	8.3448275862069	10.3275862068966	7.43965517241379
"41"	2003	75507	"Butte"	"Gridley Unified"	1951.26070038911	10.9182879377432	9.94941634241245	11.5953307392996	7.68871595330739
